Date,Price,Open,High,Low,Vol.,Change %
2004-09-15,850.63,851.52,856.39,848.79,429.06M,-0.09%
2004-09-14,851.42,857.74,859.93,848.08,439.64M,-0.06%
2004-09-13,851.91,842.15,852.06,841.41,396.94M,1.86%
2004-09-10,836.34,826.06,837.37,816.64,354.41M,1.76%
2004-09-09,821.88,815.65,823.19,809.03,452.86M,0.74%
2004-09-08,815.85,820.18,828.38,815.33,391.33M,-0.36%
2004-09-07,818.8,822.29,824.96,817.68,436.80M,-0.66%
2004-09-06,824.21,823.64,824.98,817.18,357.22M,0.43%
2004-09-03,820.69,826.0,826.26,814.09,398.40M,-0.38%
2004-09-02,823.83,818.69,823.83,815.74,394.24M,0.79%
2004-09-01,817.36,803.51,817.37,801.58,345.05M,1.72%
2004-08-31,803.57,800.62,805.26,797.62,346.46M,-0.20%
2004-08-30,805.19,811.55,815.05,802.75,333.64M,-0.63%
2004-08-27,810.3,812.65,814.05,806.75,307.37M,0.01%
2004-08-26,810.21,808.11,813.77,808.11,285.53M,0.78%
2004-08-25,803.97,791.0,804.83,790.17,262.67M,1.47%
2004-08-24,792.34,791.38,793.5,781.46,267.16M,0.60%
2004-08-23,787.65,792.5,796.84,783.5,255.38M,0.00%
2004-08-20,787.64,785.82,789.23,783.06,295.74M,-0.11%
2004-08-19,788.53,780.26,789.78,780.26,383.46M,1.98%
2004-08-18,773.19,772.84,776.15,768.94,332.49M,0.28%
2004-08-17,771.03,782.59,783.48,768.76,302.59M,-0.36%
2004-08-16,773.85,774.29,777.96,767.26,307.76M,-0.28%
2004-08-13,776.02,762.81,777.84,761.61,372.51M,1.22%
2004-08-12,766.7,755.43,767.03,753.67,321.75M,1.81%
2004-08-11,753.06,752.6,758.61,751.26,378.49M,0.59%
2004-08-10,748.62,738.92,748.63,738.36,338.09M,0.87%
2004-08-09,742.13,728.66,742.61,724.5,274.59M,1.11%
2004-08-06,733.95,733.76,745.05,733.24,312.68M,-1.26%
2004-08-05,743.35,730.64,743.37,726.87,394.29M,1.91%
2004-08-04,729.41,719.61,729.41,713.99,283.78M,0.41%
2004-08-03,726.44,726.88,728.13,722.46,301.67M,0.95%
2004-08-02,719.59,730.61,730.64,719.59,282.25M,-2.14%
2004-07-30,735.34,737.92,741.32,734.15,288.54M,0.65%
2004-07-29,730.61,742.58,742.58,730.47,326.28M,-1.86%
2004-07-28,744.42,747.02,748.82,740.19,420.81M,0.80%
2004-07-27,738.51,735.22,739.6,726.71,368.90M,0.31%
2004-07-26,736.21,730.15,739.56,729.8,307.95M,-0.18%
2004-07-23,737.51,742.51,743.65,733.74,337.07M,-0.69%
2004-07-22,742.63,738.98,744.5,733.41,435.15M,-1.42%
2004-07-21,753.32,750.59,756.44,747.89,422.74M,2.21%
2004-07-20,737.0,742.24,745.41,737.0,334.96M,-1.79%
2004-07-19,750.4,730.58,750.4,729.57,267.80M,1.49%
2004-07-16,739.39,728.37,741.41,717.77,348.15M,0.91%
2004-07-15,732.74,735.85,739.07,720.92,369.25M,-0.52%
2004-07-14,736.57,745.43,751.6,734.85,331.12M,-1.91%
2004-07-13,750.95,753.03,753.21,740.16,397.54M,0.63%
2004-07-12,746.27,752.71,757.9,740.98,334.23M,-0.16%
2004-07-09,747.46,745.09,751.92,741.26,309.48M,0.51%
2004-07-08,743.64,753.68,759.71,743.64,346.30M,-2.39%
2004-07-07,761.88,742.21,761.93,735.72,395.04M,0.45%
2004-07-06,758.47,753.14,763.93,751.26,400.15M,0.23%
2004-07-05,756.72,754.16,758.72,744.39,400.91M,0.17%
2004-07-02,755.42,764.38,764.54,754.26,431.88M,-2.91%
2004-07-01,778.03,784.85,792.77,776.35,314.99M,-0.99%
2004-06-30,785.79,783.24,787.6,777.73,400.19M,0.91%
2004-06-29,778.72,766.82,780.57,763.34,295.06M,1.01%
2004-06-28,770.95,777.85,780.31,764.29,279.50M,-1.04%
2004-06-25,779.03,763.02,780.0,760.57,305.36M,2.08%
2004-06-24,763.13,752.64,763.42,747.51,373.28M,3.28%
2004-06-23,738.93,753.28,755.88,737.23,368.50M,-1.01%
2004-06-22,746.48,744.86,749.26,732.79,327.22M,-0.38%
2004-06-21,749.3,745.22,758.58,743.69,376.09M,1.02%
2004-06-18,741.73,751.69,754.05,732.89,379.82M,-2.42%
2004-06-17,760.09,756.92,760.1,742.47,361.07M,1.03%
2004-06-16,752.34,756.33,769.66,746.48,369.90M,0.03%
2004-06-15,752.1,747.54,752.54,729.06,481.76M,1.80%
2004-06-14,738.79,744.25,761.29,737.65,377.98M,-1.70%
2004-06-11,751.53,780.16,780.41,748.34,458.72M,-3.93%
2004-06-10,782.3,785.83,794.16,776.61,444.56M,-1.54%
2004-06-09,794.53,816.93,820.68,794.1,603.58M,-1.83%
2004-06-08,809.31,817.11,820.87,804.43,356.05M,-0.02%
2004-06-07,809.45,788.41,809.51,788.41,390.67M,3.68%
2004-06-04,780.74,772.94,781.96,764.93,421.77M,1.39%
2004-06-03,770.06,810.98,812.54,770.06,465.57M,-4.27%
2004-06-02,804.39,808.84,811.59,797.68,263.38M,-1.40%
2004-06-01,815.77,807.55,817.0,804.31,315.87M,1.48%
2004-05-31,803.84,811.46,811.59,793.77,288.48M,-1.55%
2004-05-28,816.51,811.54,816.64,805.21,357.72M,1.75%
2004-05-27,802.46,802.4,810.69,797.11,293.07M,2.35%
2004-05-25,784.06,791.38,791.67,776.71,331.75M,-1.95%
2004-05-24,799.64,795.99,802.04,790.73,302.77M,1.69%
2004-05-21,786.36,780.99,786.36,768.63,324.17M,2.42%
2004-05-20,767.79,766.04,782.92,757.49,357.50M,-1.31%
2004-05-19,777.95,752.5,784.14,751.59,379.67M,4.85%
2004-05-18,741.99,724.68,748.26,716.95,383.58M,1.78%
2004-05-17,728.98,766.56,774.39,723.51,371.69M,-5.14%
2004-05-14,768.46,798.8,802.32,759.65,372.34M,-2.74%
2004-05-13,790.13,815.28,816.26,790.13,395.04M,-3.30%
2004-05-12,817.09,802.88,820.72,801.28,387.17M,3.30%
2004-05-11,791.02,789.54,802.29,776.72,362.90M,0.04%
2004-05-10,790.68,831.1,831.37,771.31,403.02M,-5.73%
2004-05-07,838.74,837.73,843.01,819.61,372.06M,0.13%
2004-05-06,837.68,864.52,865.1,836.15,359.54M,-3.44%
2004-05-04,867.48,871.57,876.3,865.68,376.76M,0.16%
2004-05-03,866.11,863.03,867.25,856.84,331.73M,0.38%
2004-04-30,862.84,867.99,875.51,854.39,378.72M,-1.44%
2004-04-29,875.41,890.61,896.45,872.63,442.77M,-2.93%
2004-04-28,901.83,917.32,919.86,901.82,373.38M,-1.49%
2004-04-27,915.47,918.82,921.42,911.56,435.46M,-0.46%
2004-04-26,919.74,935.01,935.28,919.27,388.05M,-1.74%
2004-04-23,936.06,938.25,939.52,929.8,480.36M,1.30%
2004-04-22,924.01,931.09,933.84,921.97,519.75M,-0.64%
2004-04-21,929.95,910.68,931.21,910.68,554.00M,1.20%
2004-04-20,918.9,909.91,919.13,902.47,456.84M,1.86%
2004-04-19,902.1,900.48,902.1,891.27,476.14M,0.36%
2004-04-16,898.88,903.84,908.72,897.73,391.73M,-1.90%
2004-04-14,916.31,909.95,919.38,907.36,407.16M,-0.14%
2004-04-13,917.63,925.19,927.67,916.2,468.92M,-0.13%
2004-04-12,918.86,905.44,926.07,905.44,366.19M,1.48%
2004-04-09,905.44,910.48,910.48,901.24,352.12M,-1.25%
2004-04-08,916.86,913.52,916.86,908.07,431.84M,0.76%
2004-04-07,909.93,906.78,915.13,903.24,528.21M,0.41%
2004-04-06,906.19,899.43,906.43,898.0,491.56M,2.55%
2004-04-02,883.69,886.09,889.6,882.82,541.84M,0.11%
2004-04-01,882.75,878.78,883.23,875.09,294.60M,0.26%
2004-03-31,880.5,881.75,883.88,868.41,327.69M,0.81%
2004-03-30,873.46,879.41,879.41,870.86,287.74M,-0.14%
2004-03-29,874.67,868.1,878.37,867.21,335.58M,1.24%
2004-03-26,863.95,866.29,873.01,861.63,303.97M,1.24%
2004-03-25,853.38,862.3,868.78,849.56,357.26M,-0.97%
2004-03-24,861.72,860.39,867.15,856.54,311.09M,-0.51%
2004-03-23,866.17,854.92,868.99,849.76,383.76M,0.29%
2004-03-22,863.69,878.62,881.0,862.63,371.61M,-2.22%
2004-03-19,883.33,874.57,883.33,868.97,425.08M,1.20%
2004-03-18,872.82,879.22,879.56,869.09,488.46M,0.05%
2004-03-17,872.38,858.15,872.78,857.29,524.44M,2.62%
2004-03-16,850.13,843.83,850.15,838.11,440.15M,-0.25%
2004-03-15,852.26,855.84,857.96,848.23,383.66M,0.41%
2004-03-12,848.8,866.72,867.35,822.05,655.65M,-2.43%
2004-03-11,869.93,869.67,878.1,866.33,468.74M,-0.70%
2004-03-10,876.02,887.11,890.33,874.58,457.32M,-1.75%
2004-03-09,891.58,891.1,893.73,888.46,474.38M,-0.95%
2004-03-08,900.1,909.15,910.67,899.07,506.52M,-0.58%
2004-03-05,905.38,907.21,909.08,904.01,515.73M,-0.23%
2004-03-04,907.43,898.16,908.82,896.76,589.05M,1.30%
2004-03-03,895.81,897.49,900.44,895.52,554.72M,-0.38%
2004-03-02,899.21,892.57,899.99,892.38,489.08M,1.79%
2004-02-27,883.42,865.51,883.42,861.86,458.65M,2.15%
2004-02-26,864.86,870.31,873.15,861.77,522.86M,-0.23%
2004-02-25,866.87,865.22,870.03,862.97,524.66M,0.26%
2004-02-24,864.59,872.45,876.71,864.34,549.39M,-1.47%
2004-02-23,877.52,874.93,881.43,867.99,476.21M,0.00%
2004-02-20,877.49,875.76,879.63,872.42,475.49M,-0.47%
2004-02-19,881.65,880.68,884.89,874.75,734.77M,0.52%
2004-02-18,877.1,889.23,890.51,877.1,370.52M,-0.87%
2004-02-17,884.8,884.15,888.73,880.87,435.76M,0.40%
2004-02-16,881.28,879.23,885.65,876.56,437.97M,-0.10%
2004-02-13,882.18,876.06,883.35,870.08,385.31M,0.48%
2004-02-12,877.95,882.04,882.39,872.27,444.12M,0.18%
2004-02-11,876.34,870.54,877.72,870.24,475.30M,1.10%
2004-02-10,866.8,866.06,869.62,862.85,450.04M,0.23%
2004-02-09,864.77,860.9,866.87,859.58,475.22M,1.71%
2004-02-06,850.23,842.16,853.58,839.43,541.54M,1.11%
2004-02-05,840.92,835.77,842.44,834.73,635.92M,0.65%
2004-02-04,835.5,838.52,842.6,834.7,378.60M,-0.52%
2004-02-03,839.87,853.13,853.13,837.63,461.98M,-1.76%
2004-02-02,854.89,850.28,855.43,847.74,425.19M,0.75%
2004-01-30,848.5,854.21,859.13,846.05,447.36M,-0.58%
2004-01-29,853.47,851.7,854.82,847.98,365.35M,-0.71%
2004-01-28,859.59,860.37,869.21,859.08,432.89M,-0.40%
2004-01-27,863.03,873.61,873.61,860.88,437.71M,-0.69%
2004-01-26,869.04,867.65,871.94,861.82,494.02M,0.89%
2004-01-20,861.37,854.03,864.26,853.05,364.45M,0.53%
2004-01-19,856.8,854.96,859.34,851.34,404.25M,1.04%
2004-01-16,847.95,853.67,854.46,845.4,424.96M,0.27%
2004-01-15,845.66,849.02,852.19,841.84,388.39M,-0.47%
2004-01-14,849.62,847.27,855.29,844.55,453.00M,0.14%
2004-01-13,848.43,855.42,855.45,844.82,400.18M,-0.28%
2004-01-12,850.79,843.96,853.5,840.11,443.94M,0.65%
2004-01-09,845.27,835.42,849.5,835.05,543.29M,2.56%
2004-01-08,824.15,831.1,839.28,824.15,428.76M,-0.35%
2004-01-07,827.07,826.08,831.07,825.23,404.56M,0.44%
2004-01-06,823.43,831.26,831.26,819.53,484.06M,-0.08%
2004-01-05,824.1,817.28,825.43,816.55,408.26M,0.35%
2004-01-02,821.26,816.26,821.87,813.63,307.49M,1.30%
2003-12-30,810.71,802.5,811.89,800.15,385.85M,2.31%
2003-12-29,792.44,779.24,792.44,779.24,282.39M,0.46%
2003-12-26,788.85,791.39,794.78,786.11,414.25M,-0.47%
2003-12-24,792.55,808.41,808.58,792.37,503.66M,-1.16%
2003-12-23,801.88,809.9,812.75,801.62,406.07M,-0.33%
2003-12-22,804.54,809.57,815.55,804.53,344.95M,-0.82%
2003-12-19,811.2,814.89,817.5,809.17,480.45M,0.46%
2003-12-18,807.5,803.6,808.94,797.46,493.07M,0.93%
2003-12-17,800.09,816.98,817.39,799.82,479.49M,-1.32%
2003-12-16,810.79,807.32,817.56,804.17,462.74M,-1.38%
2003-12-15,822.16,821.62,824.26,814.73,404.61M,1.99%
2003-12-12,806.08,806.42,810.68,801.33,423.44M,1.89%
2003-12-11,791.13,797.12,805.81,791.13,424.78M,-0.44%
2003-12-10,794.64,774.53,794.64,774.04,454.61M,0.93%
2003-12-09,787.35,790.52,793.13,784.6,398.09M,0.32%
2003-12-08,784.8,780.23,791.77,777.08,339.97M,-0.58%
2003-12-05,789.41,802.71,802.86,789.41,426.51M,-1.95%
2003-12-04,805.13,805.1,809.68,800.31,493.94M,-0.40%
2003-12-03,808.34,807.17,816.02,801.08,440.58M,0.07%
2003-12-02,807.78,813.49,813.95,806.3,531.99M,0.05%
2003-12-01,807.39,796.36,811.49,790.8,584.98M,1.41%
2003-11-28,796.18,783.17,797.07,783.17,597.54M,1.85%
2003-11-27,781.68,783.13,784.86,776.4,502.46M,-0.12%
2003-11-26,782.65,769.76,783.8,769.3,532.14M,1.89%
2003-11-25,768.11,768.1,770.28,761.98,526.45M,1.92%
2003-11-24,753.65,765.82,769.6,752.14,577.95M,-2.22%
2003-11-21,770.78,764.12,777.96,762.36,624.92M,0.17%
2003-11-20,769.45,775.19,778.1,763.67,605.28M,-0.29%
2003-11-19,771.7,785.28,785.28,769.43,717.18M,-3.65%
2003-11-18,800.97,794.24,801.2,787.6,642.40M,0.82%
2003-11-17,794.47,803.48,803.95,790.14,504.10M,-1.90%
2003-11-14,809.89,809.94,818.34,807.67,597.55M,-0.40%
2003-11-13,813.11,805.79,813.11,803.93,510.31M,2.11%
2003-11-12,796.31,788.91,798.33,786.0,509.12M,1.08%
